3,1,2002-04-22 13:59,C.S.P.,CSP/INTAK,PRES FACIL,
3,1,2002-02-20 20:35,C.S.P.,CSP/UNIT E,PRES FACIL,
3,1,2001-04-25 20:44,C.S.P.,CSP/UNIT A,PRES FACIL,
3,1,2001-02-24 19:28,C.S.P.,CSP/UNIT A,PRES FACIL,
3,1,2001-02-24 13:04,C.S.P.,CSP/INTAK,PRES FACIL,
3,1,2000-12-27 20:42,C.S.P.,CSP/UNIT B,PRES FACIL,
3,1,2000-12-26 19:48,C.S.P.,CSP/INTAK,PRES FACIL,
3,1,2000-10-10 13:59,C.S.P.,CSP/UNIT B,PRES FACIL,
3,1,1999-12-28 10:16,SAN CARLOS,SCCF/4LEFT,PRES FACIL,
3,1,1999-12-27 09:56,SAN CARLOS,SCCF/4RGHT,PRES FACIL,
3,1,1999-12-16 10:18,SAN CARLOS,SCCF/4LEFT,ARAPAHO/SH,
3,1,1999-06-03 09:03,SAN CARLOS,SCCF/4LEFT,PRES FACIL,
3,1,1999-06-02 20:34,FREMONT,FCF/RH,PRES FACIL,
3,1,1999-04-23 12:59,FREMONT,FCF/RH,PRES FACIL,
3,1,1999-04-21 10:16,FREMONT,FCF/L.U.5,PRES FACIL,
3,1,1999-04-21 09:09,FREMONT,FCF/INTAK,PRES FACIL,
3,1,1999-04-14 15:40,CTCF,CTCF/TRANS,PRES FACIL,
3,1,1999-03-24 08:21,DRDC,DRDC/UNIT3,PRES FACIL,
3,1,1999-03-08 08:23,DRDC,DRDC/UNIT3,PRES FACIL,
3,1,1999-03-05 09:22,DRDC,DRDC/UNIT3,PRES FACIL,
3,1,1999-03-01 07:07,DRDC,DRDC/UNIT2,PRES FACIL,
3,1,1999-02-24 14:22,DRDC,DRDC/UNIT1,PRES FACIL,
3,1,1999-02-24 10:07,DRDC,DRDC/INTAK,PRES FACIL,
3,1,1999-02-22 10:00,JAIL BCKLG,ARAPAHO/JB,PRES FACIL,
4,1,2,05/01/2002,CS,7,
4,1,3,04/22/2004,CS,5,
4,1,3,06/01/2004,CS,5,
4,1,3,11/29/2004,CS,4,
4,1,4,08/15/2005,CS,4,
4,1,3,12/08/2006,CF,5,
4,1,3,01/07/2008,BV,4,
5,1,03/02/1999,03/11/1999,3,,
5,1,03/12/1999,10/12/1999,4,C,
5,1,10/13/1999,04/05/2001,4,C,
5,1,04/06/2001,11/18/2001,4,C,
5,1,11/19/2001,02/17/2002,4,N,
5,1,02/18/2002,03/05/2003,4,C,
5,1,03/06/2003,08/29/2004,3,T,
5,1,08/30/2004,06/07/2006,2,,
5,1,06/07/2006,06/15/2006,4,T,
5,1,06/15/2006,12/04/2006,3,T,
5,1,12/05/2006,          ,3,C,
6,1,02/22/1999,,MAXIMUM,
6,1,03/02/1999,CLOSE,CLOSE,
6,1,04/09/1999,CLOSE,CLOSE,
6,1,04/27/1999,,MAX AD SEG,
6,1,05/05/1999,,MAX AD SEG,
6,1,05/12/1999,,MAX AD SEG,
6,1,05/19/1999,,MAX AD SEG,
6,1,06/07/1999,,MAX AD SEG,
6,1,06/14/1999,,MAX AD SEG,
6,1,06/21/1999,,MAX AD SEG,
6,1,07/15/1999,,MAX AD SEG,
6,1,08/15/1999,,MAX AD SEG,
6,1,09/15/1999,,MAX AD SEG,
6,1,10/15/1999,,MAX AD SEG,
6,1,11/15/1999,,MAX AD SEG,
6,1,12/15/1999,,MAX AD SEG,
6,1,01/15/2000,,MAX AD SEG,
6,1,02/15/2000,,MAX AD SEG,
6,1,03/15/2000,,MAX AD SEG,
6,1,04/15/2000,,MAX AD SEG,
6,1,05/15/2000,,MAX AD SEG,
6,1,06/15/2000,,MAX AD SEG,
6,1,07/15/2000,,MAX AD SEG,
6,1,08/15/2000,,MAX AD SEG,
6,1,09/15/2000,,MAX AD SEG,
6,1,10/10/2000,,MAX AD SEG,
6,1,10/12/2000,,MAX AD SEG,
6,1,11/17/2000,,MAX AD SEG,
6,1,12/15/2000,,MAX AD SEG,
6,1,01/19/2001,,MAX AD SEG,
6,1,02/14/2001,,MAX AD SEG,
6,1,03/16/2001,,MAX AD SEG,
6,1,04/17/2001,,MAX AD SEG,
6,1,06/01/2001,,MAX AD SEG,
6,1,07/05/2001,,MAX AD SEG,
6,1,09/07/2001,,MAX AD SEG,
6,1,10/05/2001,,MAX AD SEG,
6,1,11/02/2001,,MAX AD SEG,
6,1,12/07/2001,,MAX AD SEG,
6,1,01/04/2002,,MAX AD SEG,
6,1,02/01/2002,,MAX AD SEG,
6,1,03/08/2002,,MAX AD SEG,
6,1,04/05/2002,,MAX AD SEG,
6,1,05/03/2002,,MAX AD SEG,
6,1,06/07/2002,,MAX AD SEG,
6,1,07/05/2002,,MAX AD SEG,
6,1,08/09/2002,,MAX AD SEG,
6,1,09/06/2002,,MAX AD SEG,
6,1,10/04/2002,,MAX AD SEG,
6,1,11/08/2002,,MAX AD SEG,
6,1,12/06/2002,,MAX AD SEG,
6,1,01/10/2003,,MAX AD SEG,
6,1,02/07/2003,,MAX AD SEG,
6,1,03/05/2003,,MAX AD SEG,
6,1,04/04/2003,,MAX AD SEG,
6,1,05/09/2003,,MAX AD SEG,
6,1,06/09/2003,,MAX AD SEG,
6,1,07/09/2003,,MAX AD SEG,
6,1,08/08/2003,,MAX AD SEG,
6,1,09/08/2003,,MAX AD SEG,
6,1,10/08/2003,,MAX AD SEG,
6,1,11/07/2003,,MAX AD SEG,
6,1,12/08/2003,,MAX AD SEG,
6,1,01/07/2004,,MAX AD SEG,
6,1,02/06/2004,,MAX AD SEG,
6,1,03/08/2004,,MAX AD SEG,
6,1,04/07/2004,,MAX AD SEG,
6,1,05/07/2004,,MAX AD SEG,
6,1,06/07/2004,,MAX AD SEG,
6,1,07/07/2004,,MAX AD SEG,
6,1,08/06/2004,,MAX AD SEG,
6,1,09/07/2004,,MAX AD SEG,
6,1,10/07/2004,,MAX AD SEG,
6,1,11/08/2004,,MAX AD SEG,
6,1,12/08/2004,,MAX AD SEG,
6,1,01/07/2005,,MAX AD SEG,
6,1,02/07/2005,,MAX AD SEG,
6,1,03/10/2005,,MAX AD SEG,
6,1,04/08/2005,,MAX AD SEG,
6,1,05/08/2005,,MAX AD SEG,
6,1,06/07/2005,,MAX AD SEG,
6,1,07/07/2005,,MAX AD SEG,
6,1,08/05/2005,,MAX AD SEG,
6,1,09/07/2005,,MAX AD SEG,
6,1,06/01/2006,,MAXIMUM,
6,1,06/12/2006,MEDIUM,MEDIUM,
6,1,10/24/2006,CLOSE,CLOSE,
6,1,04/23/2007,CLOSE,CLOSE,
6,1,08/02/2007,CLOSE,CLOSE,
6,1,10/30/2007,CLOSE,CLOSE,
6,1,01/04/2008,CLOSE,CLOSE,
6,1,01/28/2008,CLOSE,CLOSE,
6,1,04/25/2008,,MAX AD SEG,
6,1,05/02/2008,,MAX AD SEG,
6,1,05/09/2008,,MAX AD SEG,
6,1,05/16/2008,,MAX AD SEG,
6,1,05/23/2008,,MAX AD SEG,
6,1,05/30/2008,,MAX AD SEG,
6,1,06/06/2008,,MAX AD SEG,
6,1,06/13/2008,,MAX AD SEG,
6,1,06/20/2008,,MAX AD SEG,
6,1,06/27/2008,,MAX AD SEG,
6,1,07/24/2008,,MAX AD SEG,
6,1,08/24/2008,,MAX AD SEG,
7,1,02/10/1999,I04,ASSAULT,
7,1,04/09/1999,II19,UNAUTHORIZED POSSESSION,
7,1,04/09/1999,II19,UNAUTHORIZED POSSESSION,
7,1,06/02/1999,I12,POSSESSION OF DANGEROUS CONTRABAND,
7,1,07/26/1999,II16,ADVOCATING FACILITY DISRUPTION,
7,1,09/20/1999,II12,FIGHTING,
7,1,10/20/1999,II13,THREATS,
7,1,10/20/1999,I16,TAMPERING WITH LOCKS/SECURITY,
7,1,10/20/1999,II27,VERBAL ABUSE,
7,1,03/14/2000,II13,THREATS,
7,1,03/14/2000,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,07/17/2000,II13,THREATS,
7,1,07/17/2000,II13,THREATS,
7,1,07/17/2000,II27,VERBAL ABUSE,
7,1,07/17/2000,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,10/06/2000,II19,UNAUTHORIZED POSSESSION,
7,1,01/05/2001,II16,ADVOCATING FACILITY DISRUPTION,
7,1,01/05/2001,II27,VERBAL ABUSE,
7,1,01/05/2001,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,03/08/2001,I16,TAMPERING WITH LOCKS/SECURITY,
7,1,03/08/2001,II13,THREATS,
7,1,03/08/2001,II05,FRAUD,
7,1,03/08/2001,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,03/08/2001,II27,VERBAL ABUSE,
7,1,07/26/2001,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,07/26/2001,II27,VERBAL ABUSE,
7,1,10/16/2002,II24,SEXUAL MISCONDUCT,
7,1,03/03/2003,II19,UNAUTHORIZED POSSESSION,
7,1,04/29/2003,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,04/29/2003,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,04/29/2003,II16,ADVOCATING FACILITY DISRUPTION,
7,1,04/29/2003,II16,ADVOCATING FACILITY DISRUPTION,
7,1,04/29/2003,II27,VERBAL ABUSE,
7,1,04/29/2003,II27,VERBAL ABUSE,
7,1,04/29/2003,II16,ADVOCATING FACILITY DISRUPTION,
7,1,04/29/2003,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,12/09/2003,II05,FRAUD,
7,1,05/18/2004,II16,ADVOCATING FACILITY DISRUPTION,
7,1,05/18/2004,I12,POSSESSION OF DANGEROUS CONTRABAND,
7,1,05/18/2004,II19,UNAUTHORIZED POSSESSION,
7,1,03/31/2005,I12,POSSESSION OF DANGEROUS CONTRABAND,
7,1,03/31/2005,II16,ADVOCATING FACILITY DISRUPTION,
7,1,10/03/2006,II13,THREATS,
7,1,10/03/2006,II27,VERBAL ABUSE,
7,1,10/12/2006,I16,TAMPERING WITH LOCKS/SECURITY,
7,1,11/20/2006,II27,VERBAL ABUSE,
7,1,10/10/2007,I04,ASSAULT,
7,1,10/10/2007,I04,ASSAULT,
7,1,12/19/2007,II25,DISOBEYING A LAWFUL ORDER (OLD - PRE 9/1/2011),
7,1,12/28/2007,II12,FIGHTING,
7,1,01/14/2008,II13,THREATS,
7,1,01/14/2008,II16,ADVOCATING FACILITY DISRUPTION,
7,1,04/14/2008,II12,FIGHTING,
1,2,Male,Caucasian,02/14/2016,12/01/2037,12/01/2037,LIMON CF,LCF/UNIT1,PRES FACIL,
2,2,06/29/2000,23,959,5,CRIMINAL MISCHIEF,
2,2,02/19/1998,20,199,3,1ST DEGREE BURGLARY,
2,2,02/19/1998,67,149,5,MENACING,
2,2,02/19/1998,04,119,2,SEXUAL ASSAULT 1ST DEGREE,
2,2,02/19/1998,07,497,4,2ND DEGREE ASSAULT,
3,2,2015-08-08 06:40,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-08-06 08:19,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-08-05 10:36,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-08-05 09:38,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2015-08-05 07:47,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-08-05 06:13,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-08-03 12:03,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-08-03 08:07,DRDC,DRDC/UNIT5,D/T DENVER,
3,2,2015-07-28 15:29,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-07-28 09:43,DRDC,DRDC/UNIT5,D/T DENVER,
3,2,2015-07-22 15:53,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-07-22 15:06,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-07-22 10:17,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2015-05-09 21:11,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-05-07 15:32,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-05-07 15:30,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-05-07 10:41,LIMON CF,LCF/UNIT1,D/T DENVER,
3,2,2015-04-21 13:35,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-04-20 10:56,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-04-20 10:48,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2015-04-20 07:14,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-04-20 06:15,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-04-15 12:24,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-04-15 07:35,DRDC,DRDC/UNIT5,D/T DENVER,
3,2,2015-04-13 13:30,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-04-13 12:14,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-04-13 08:29,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2015-03-25 10:32,LIMON CF,LCF/UNIT2,PRES FACIL,
3,2,2015-03-25 09:23,LIMON CF,LCF/UNIT1,PRES FACIL,
